Year	Day	HourMin	Wind Spd	Wind Dir	Air_1	Air_2	Air P	Rad	Snow D_m	Wind Speed Max	Wind Dir Max	Dew	RH
2004	100	300	4.627	66.33	2.025	1.699	1177	0.506	6999	9.14	62.85	0.779	93.7
2004	100	400	5.422	42.54	1.919	1.604	1177	0.508	6999	8.22	57.43	0.627	93.4
2004	100	500	5.577	48.41	2.167	1.833	1177	0.508	6999	9.07	54.72	0.781	92.2
2004	100	600	5.856	45.09	1.593	1.31	1177	0.507	6999	12.38	49.65	0.293	93.4
2004	100	700	6.549	45.58	1.736	1.572	1177	0.541	6999	11.47	56.85	0.52	92.6
2004	100	800	5.829	47.84	1.965	1.671	1178	11.69	6999	10.2	69.7	0.303	91
2004	100	900	5.78	62.2	3.258	3.014	1179	51.71	6999	11.54	56.49	1.139	88
2004	100	1000	4.014	80.2	6.108	6.028	1179	152.9	6999	11.96	329.4	2.558	78.7
2004	100	1100	5.909	326.5	8.79	8.74	1179	318	6999	12.88	336.2	3.349	70.1
2004	100	1200	6.2	315	9.83	9.52	1178	422.3	6999	12.88	326.9	2.942	62.07
2004	100	1300	6.582	302.4	10.53	10.27	1178	264	6999	14.64	353.8	1.274	54.28
2004	100	1400	7.67	313.8	10.76	10.83	1177	513.4	6999	18.88	325.4	1.556	52.29
2004	100	1500	8.87	322.6	11.23	11.15	1176	511.3	6999	21.98	323	1.146	49.87
2004	100	1600	7.85	321.1	11.94	11.97	1176	410.6	6999	21.91	336.7	1.37	49.78
2004	100	1700	4.5	303.3	11.44	11.25	1176	188.5	6999	14.71	334.5	1.436	49.82
2004	100	1800	4.494	146.4	10.09	9.84	1176	61.65	6999	9.91	156.8	2.345	58.48
2004	100	1900	3.555	160.7	8.25	8.04	1176	8.04	6999	7.94	44.56	3.896	73.5
2004	100	2000	6.364	31.62	10.26	9.81	1176	0.979	6999	24.03	246.1	2.635	61.81
2004	100	2100	7.23	331.8	7.55	6.897	1176	0.961	6999	28.33	260.2	3.311	76.1
2004	100	2200	9.41	332.5	9.13	8.67	1176	0.844	6999	26.71	333.5	3.869	71.8
2004	100	2300	11.04	334.1	9.33	8.96	1176	0.814	6999	22.33	313	4.177	70.8
2004	101	0	6.433	305.7	9.6	9.25	1176	0.887	6999	16.12	268.5	4.118	68.47
2004	101	100	8.19	284.3	9.17	8.8	1175	0.839	6999	21.56	255.1	4.423	73.4
2004	101	200	7.51	314.2	10	9.71	1174	0.863	6999	18.17	317.9	4.236	66.8
2004	101	300	7.51	318.7	9.76	9.45	1174	0.873	6999	17.04	320.2	5.068	69.99
2004	101	400	13.04	320.5	10.03	9.62	1173	0.808	6999	30.24	339.2	5.947	80.1
